gridindex,forest_ha,land_ha,disturbance_ha
435,5500.44,12470.76,140.67
436,3054.7799999999997,12470.85,183.32999999999998
437,3920.3999999999996,12470.85,92.88
438,3079.35,12470.76,68.13
439,1922.3999999999999,12470.67,23.49
440,5643.09,12470.67,576
441,1905.84,12470.85,17.82
442,5870.61,12470.58,65.61
443,4058.46,12470.76,91.08
444,4687.47,12470.76,78.11999999999999
445,4843.53,12470.67,73.44
446,4336.83,12470.85,95.13
447,3061.5299999999997,12470.67,205.65
448,4065.93,12470.76,124.56
449,7326.99,9275.4,489.69
450,0,6134.4,NA
451,3871.44,12470.85,54
452,10191.6,12470.67,210.78
453,5767.11,12470.76,304.11
454,4681.71,12470.67,95.31
455,2374.74,12470.76,60.03
456,3397.41,12470.67,91.44
457,4618.44,12470.76,152.54999999999998
458,4305.51,12470.85,58.589999999999996
459,5804.73,12470.85,301.5
460,6078.96,12470.85,145.35
461,5876.91,12470.76,158.85
462,2378.16,12470.85,73.61999999999999
463,6974.91,12470.85,61.47
464,6171.21,12470.76,109.44
465,3182.04,12470.67,129.96
466,3342.5099999999998,12470.85,128.51999999999998
467,8284.14,12470.85,569.25
468,89.28,12470.85,0.8999999999999999
469,9363.15,12470.76,105.47999999999999
470,7123.679999999999,12470.85,73.71
471,5828.49,12470.76,94.77
472,4947.66,12470.85,219.69
473,3609.45,12470.85,164.97
474,4193.19,12470.76,209.16
475,3523.77,12470.67,89.36999999999999
476,6897.5999999999995,12470.67,255.87
477,4342.59,12470.85,92.42999999999999
478,7586.46,12470.58,437.13
479,3763.17,12470.76,146.79
480,5822.19,12470.76,293.13
481,4220.19,12470.67,51.48
482,4321.8,12470.85,143.37
483,6055.29,12470.67,245.25
484,5810.67,12470.76,190.79999999999998
485,8310.51,9275.4,665.37
486,0,6134.4,NA
487,7250.94,12470.85,144.26999999999998
488,8355.42,12470.67,133.2
489,3951,12470.76,76.14
490,4122,12470.67,82.98
491,3740.31,12470.76,122.58
492,3954.42,12470.67,221.76
493,3988.7999999999997,12470.76,158.4
494,6042.96,12470.85,280.08
495,5994.45,12470.85,342.36
496,6433.65,12470.85,172.26
497,8264.25,12470.76,417.06
498,8032.7699999999995,12470.85,405.45
499,4446.99,12470.85,54.449999999999996
500,5718.87,12470.76,89.64
501,5766.12,12470.67,176.76
502,4275.72,12470.85,250.2
503,10737.449999999999,12470.85,1911.33
504,6.4799999999999995,12470.85,NA
505,9582.57,12470.76,105.75
506,4247.55,12470.85,57.78
507,4747.5,12470.76,58.86
508,6412.86,12470.85,268.83
509,3560.85,12470.85,182.79
510,4180.7699999999995,12470.76,215.19
511,2252.79,12470.67,11.52
512,6082.92,12470.67,258.57
513,2667.5099999999998,12470.85,119.52
514,6039.2699999999995,12470.58,112.32
515,10345.68,12470.76,511.91999999999996
516,3973.8599999999997,12470.76,81
517,6494.219999999999,12470.67,55.08
518,5399.46,12470.85,180.18
519,3380.67,12470.67,94.86
520,6106.5,12470.76,636.66
521,6752.25,9275.4,739.8
522,0,6134.4,NA
523,7171.2,12470.85,91.08
524,8155.3499999999995,12470.67,125.55
525,6328.62,12470.76,131.49
526,5130.36,12470.67,24.119999999999997
527,2848.77,12470.76,94.59
528,3319.83,12470.67,134.73
529,4045.95,12470.76,99.36
530,3393.6299999999997,12470.85,42.839999999999996
531,7398.09,12470.85,376.28999999999996
532,3473.19,12470.85,80.73
533,7125.12,12470.76,269.09999999999997
534,6417.45,12470.85,82.25999999999999
535,6728.13,12470.85,87.84
536,5871.15,12470.76,52.83
537,4887.8099999999995,12470.67,168.93
538,5688.2699999999995,12470.85,174.78
539,9090.9,12470.85,891.36
540,0,12470.85,NA
541,9227.34,12470.76,115.19999999999999
542,5535.8099999999995,12470.85,165.6
543,3675.06,12470.76,25.29
544,4746.87,12470.85,323.72999999999996
545,2843.37,12470.85,80.64
546,4178.88,12470.76,159.12
547,3050.8199999999997,12470.67,65.78999999999999
548,4673.25,12470.67,355.59
549,5514.929999999999,12470.85,278.64
550,2852.1,12470.58,52.29
551,5832.09,12470.76,82.44
552,6687.8099999999995,12470.76,116.1
553,6661.889999999999,12470.67,71.73
554,5924.969999999999,12470.85,137.7
555,4432.32,12470.67,113.03999999999999
556,9015.21,12470.76,656.1899999999999
557,6526.259999999999,9275.4,721.7099999999999
558,0,6134.4,NA
559,1426.4099999999999,12470.85,104.85
560,9849.24,12470.67,208.44
561,7725.33,12470.76,283.86
562,8067.69,12470.67,167.04
563,3069.3599999999997,12470.76,18.81
564,2655.9,12470.67,64.8
565,4717.62,12470.76,171.54
566,1760.58,12470.85,9.99
567,6790.7699999999995,12470.85,207.45
568,4702.59,12470.85,111.42
569,3915.54,12470.76,38.07
570,6761.5199999999995,12470.85,93.14999999999999
571,9010.08,12470.85,170.54999999999998
572,5473.98,12470.76,102.96
573,3976.2,12470.67,57.059999999999995
574,9259.92,12470.85,511.2
575,9346.41,12470.85,825.5699999999999
576,0,12470.85,NA
577,8494.289999999999,12470.76,98.91
578,8252.64,12470.85,224.91
579,6593.67,12470.76,100.89
580,4777.0199999999995,12470.85,166.95
581,2939.85,12470.85,27.09
582,3831.2999999999997,12470.76,176.48999999999998
583,4844.61,12470.67,144.63
584,5555.88,12470.67,298.17
585,4361.94,12470.85,159.39
586,4831.83,12470.58,108.17999999999999
587,6485.94,12470.76,85.86
588,7893.99,12470.76,202.76999999999998
589,6356.61,12470.67,202.04999999999998
590,4035.7799999999997,12470.85,48.33
591,5721.389999999999,12470.67,346.68
592,8628.84,12470.76,395.90999999999997
593,4779.09,9275.4,409.05
594,0,6134.4,NA
595,0,12470.85,NA
596,9933.57,12470.67,170.64
597,7912.259999999999,12470.76,171.72
598,7173.45,12470.67,184.59
599,2987.5499999999997,12470.76,22.32
600,3017.25,12470.67,46.71
601,4378.95,12470.76,116.19
602,3684.96,12470.85,123.03
603,5989.7699999999995,12470.85,245.88
604,4992.929999999999,12470.85,82.35
605,5000.49,12470.76,127.71
606,7190.73,12470.85,132.39
607,6480.2699999999995,12470.85,172.79999999999998
608,5038.11,12470.76,85.22999999999999
609,4571.639999999999,12470.67,228.06
610,6248.429999999999,12470.85,259.56
611,7039.889999999999,12470.85,485.37
612,0,12470.85,NA
613,901.98,12470.76,9.629999999999999
614,8971.92,12470.85,184.76999999999998
615,7510.049999999999,12470.76,406.89
616,3177.72,12470.85,127.97999999999999
617,2463.48,12470.85,35.19
618,3373.56,12470.76,107.28
619,5801.219999999999,12470.67,129.32999999999998
620,2573.64,12470.67,102.96
621,5176.26,12470.85,140.04
622,5456.25,12470.58,64.35
623,6831.719999999999,12470.76,157.41
624,5772.15,12470.76,334.44
625,5505.57,12470.67,166.41
626,7524.09,12470.85,258.75
627,4140.54,12470.67,127.08
628,5105.34,12470.76,272.15999999999997
629,5337,9275.4,487.34999999999997
630,0,6134.4,NA
631,0,12470.85,NA
632,9572.94,12470.67,219.42
633,7038.09,12470.76,102.24
634,8046.99,12470.67,532.35
635,1873.71,12470.76,25.919999999999998
636,2797.2,12470.67,26.91
637,3963.06,12470.76,113.03999999999999
638,6963.389999999999,12470.85,221.76
639,8804.25,12470.85,153.54
640,5075.91,12470.85,57.15
641,7257.87,12470.76,125.55
642,4882.5,12470.85,120.86999999999999
643,7439.3099999999995,12470.85,241.56
644,3684.5099999999998,12470.76,76.59
645,10319.22,12470.67,495.09
646,4320.45,12470.85,132.48
647,4222.8,12470.85,209.60999999999999
648,0,12470.85,NA
649,320.94,12470.76,3.51
650,8895.96,12470.85,193.85999999999999
651,6723.8099999999995,12470.76,207.9
652,7637.58,12470.85,198.09
653,2896.1099999999997,12470.85,21.779999999999998
654,3229.92,12470.76,94.86
655,4557.5999999999995,12470.67,130.32
656,4305.33,12470.67,168.66
657,5719.679999999999,12470.85,158.31
658,6908.3099999999995,12470.58,84.33
659,6310.3499999999995,12470.76,186.93
660,6117.21,12470.76,240.39
661,5832.719999999999,12470.67,159.93
662,9131.76,12470.85,375.47999999999996
663,6801.48,12470.67,328.86
664,3235.14,12470.76,224.19
665,3572.0099999999998,9275.4,141.93
666,0,6134.4,NA
667,0,12470.85,NA
668,7437.42,12470.67,204.66
669,6517.08,12470.76,58.86
670,5269.05,12470.67,223.10999999999999
671,4247.19,12470.76,145.53
672,2575.7999999999997,12470.67,19.439999999999998
673,3686.7599999999998,12470.76,169.29
674,3946.14,12470.85,120.14999999999999
675,6440.8499999999995,12470.85,215.45999999999998
676,6509.79,12470.85,36
677,6616.53,12470.76,182.16
678,6874.65,12470.85,83.7
679,8396.279999999999,12470.85,427.14
680,6807.87,12470.76,234
681,5596.74,12470.67,151.47
682,5928.03,12470.85,280.08
683,4544.01,12470.85,146.25
684,0,12470.85,NA
685,0,12470.76,NA
686,9258.84,12470.85,257.31
687,5735.61,12470.76,132.03
688,6081.57,12470.85,133.56
689,3118.14,12470.85,111.06
690,3719.6099999999997,12470.76,169.56
691,3632.94,12470.67,236.97
692,4406.67,12470.67,96.92999999999999
693,3561.39,12470.85,46.62
694,6169.139999999999,12470.58,226.62
695,5723.639999999999,12470.76,69.75
696,8130.24,12470.76,317.52
697,6237.9,12470.67,177.03
698,7209.45,12470.85,314.37
699,7092,12470.67,221.57999999999998
700,4765.139999999999,12470.76,206.91
701,3644.73,9275.4,149.94
702,0,6134.4,NA
703,0,12470.85,NA
704,6171.66,12470.67,127.61999999999999
705,6269.3099999999995,12470.76,356.84999999999997
706,4923.179999999999,12470.67,223.2
707,6163.92,12470.76,149.94
708,3888.45,12470.67,170.82
709,3373.92,12470.76,282.15
710,4286.88,12470.85,202.85999999999999
711,3089.16,12470.85,112.05
712,5755.05,12470.85,188.28
713,5144.49,12470.76,53.91
714,5413.41,12470.85,167.04
715,5436.09,12470.85,116.1
716,5990.04,12470.76,453.69
717,5186.07,12470.67,188.37
718,2807.46,12470.85,95.85
719,3692.6099999999997,12470.85,133.74
720,0,12470.85,NA
721,0,12470.76,NA
722,7775.639999999999,12470.85,93.50999999999999
723,5671.3499999999995,12470.76,193.5
724,4375.889999999999,12470.85,248.57999999999998
725,3092.49,12470.85,117.27
726,2975.85,12470.76,285.65999999999997
727,3849.5699999999997,12470.67,305.90999999999997
728,3584.7,12470.67,169.38
729,3819.69,12470.85,80.00999999999999
730,7877.969999999999,12470.58,181.26
731,4937.67,12470.76,25.47
732,5428.53,12470.76,58.949999999999996
733,4391.82,12470.67,107.36999999999999
734,5709.51,12470.85,311.49
735,2188.71,12470.67,58.41
736,6700.95,12470.76,158.67
737,3646.7999999999997,9275.4,193.14
738,0,6134.4,NA
739,0,12470.85,NA
740,1546.29,12470.67,54.72
741,7469.639999999999,12470.76,151.82999999999998
742,5405.8499999999995,12470.67,243.09
743,4418.639999999999,12470.76,192.95999999999998
744,2446.74,12470.67,180.54
745,3944.8799999999997,12470.76,265.86
746,3827.3399999999997,12470.85,119.97
747,1620.1799999999998,12470.85,91.35
748,5259.15,12470.85,140.22
749,7085.79,12470.76,106.47
750,5482.08,12470.85,103.5
751,5031.9,12470.85,78.66
752,6222.24,12470.76,260.46
753,3155.22,12470.67,107.72999999999999
754,4249.71,12470.85,126.72
755,9077.58,12470.85,535.68
756,0,12470.85,NA
757,0,12470.76,NA
758,6746.4,12470.85,36.99
759,5755.32,12470.76,157.14
760,5679.36,12470.85,341.28
761,2561.85,12470.85,170.19
762,3192.2999999999997,12470.76,258.12
763,3221.73,12470.67,78.75
764,2737.17,12470.67,89.64
765,6011.28,12470.85,257.03999999999996
766,8007.929999999999,12470.58,167.04
767,5579.37,12470.76,95.22
768,5928.48,12470.76,146.97
769,6438.96,12470.67,150.03
770,7743.5999999999995,12470.85,181.07999999999998
771,0,12470.67,NA
772,5433.12,12470.76,149.31
773,5194.8,9275.4,230.57999999999998
774,0,6134.4,NA
775,0,12470.85,NA
776,0,12470.67,NA
777,6815.429999999999,12470.76,60.21
778,5414.04,12470.67,160.47
779,5135.8499999999995,12470.76,352.16999999999996
780,3646.35,12470.67,230.31
781,4409.73,12470.76,229.23
782,4932.54,12470.85,118.53
783,2346.48,12470.85,94.41
784,5801.13,12470.85,101.33999999999999
785,5886.719999999999,12470.76,78.75
786,6549.12,12470.85,198.18
787,3998.0699999999997,12470.85,180.18
788,3369.69,12470.76,138.96
789,0,12470.67,NA
790,0,12470.85,NA
791,9541.17,12470.85,490.14
792,0,12470.85,NA
793,0,12470.76,NA
794,8162.009999999999,12470.85,83.88
795,3204.9,12470.76,78.11999999999999
796,3863.8799999999997,12470.85,146.34
797,3728.7,12470.85,278.01
798,4056.21,12470.76,219.32999999999998
