falsto_name,year,scale,spei
Anzinger_Forst_2,2015,12,-0.456722225309987
Anzinger_Forst_2,2016,1,0.847451910725928
Anzinger_Forst_2,2016,12,1.51265488244717
Anzinger_Forst_2,2017,1,-0.0844549487066571
Anzinger_Forst_2,2017,12,0.607455481455909
Anzinger_Forst_2,2018,1,0.264079400519493
Anzinger_Forst_2,2018,12,-0.308298405901393
Anzinger_Forst_2,2019,1,1.017204083488
Anzinger_Forst_2,2019,12,1.54694751407784
Anzinger_Forst_2,2020,1,0.646764681098326
Anzinger_Forst_2,2020,12,1.80201742647475
Anzinger_Forst_2,2021,1,0.201194117537075
Anzinger_Forst_2,2021,12,0.963512054189557
Auerbach_1,2015,1,0.470181498993836
Auerbach_1,2015,12,0.460316202136364
Auerbach_1,2016,1,0.605888798478541
Auerbach_1,2016,12,0.947429728589234
Auerbach_1,2017,1,0.387751256118596
Auerbach_1,2017,12,0.84399632041372
Auerbach_1,2018,1,0.605395731612203
Auerbach_1,2018,12,0.64810576662249
Auerbach_1,2019,1,1.35400202865558
Auerbach_1,2019,12,1.80496678853721
Auerbach_1,2020,1,1.03386366682556
Auerbach_1,2020,12,1.5647397094988
Auerbach_1,2021,1,0.643784753743915
Auerbach_1,2021,12,1.39393796095906
Auerbach_2,2015,1,0.430324974770603
Auerbach_2,2015,12,0.390661951575091
Auerbach_2,2016,1,0.609694888799613
Auerbach_2,2016,12,0.961253434017586
Auerbach_2,2017,1,0.332866493652688
Auerbach_2,2017,12,0.818223140878364
Auerbach_2,2018,1,0.583534610509473
Auerbach_2,2018,12,0.593392978180703
Auerbach_2,2019,1,1.35820372370768
Auerbach_2,2019,12,1.81621722805014
Auerbach_2,2020,1,1.01750771638523
Auerbach_2,2020,12,1.58977158237521
Auerbach_2,2021,1,0.61986229693626
Auerbach_2,2021,12,1.37922644508555
Auerbach_i.d.OPf._1,2015,1,0.588786861366304
Auerbach_i.d.OPf._1,2015,12,0.176214680692132
Auerbach_i.d.OPf._1,2016,1,0.580538348302077
Auerbach_i.d.OPf._1,2016,12,1.08006789350182
Auerbach_i.d.OPf._1,2017,1,0.598554086335565
Auerbach_i.d.OPf._1,2017,12,0.935254975171601
Auerbach_i.d.OPf._1,2018,1,0.442922784497443
Auerbach_i.d.OPf._1,2018,12,0.756764358203035
Auerbach_i.d.OPf._1,2019,1,1.43111032746762
Auerbach_i.d.OPf._1,2019,12,1.67953012471851
Auerbach_i.d.OPf._1,2020,1,0.907603646580549
Auerbach_i.d.OPf._1,2020,12,1.5380937793712
Auerbach_i.d.OPf._1,2021,1,0.813461803296842
Auerbach_i.d.OPf._1,2021,12,1.55411883836707
Auerbach_i.d.OPf._2,2015,1,0.610575302615523
Auerbach_i.d.OPf._2,2015,12,0.214264772159688
Auerbach_i.d.OPf._2,2016,1,0.608761917790412
Auerbach_i.d.OPf._2,2016,12,1.07144913955192
Auerbach_i.d.OPf._2,2017,1,0.615284024051431
Auerbach_i.d.OPf._2,2017,12,0.945647799030963
Auerbach_i.d.OPf._2,2018,1,0.490101322271651
Auerbach_i.d.OPf._2,2018,12,0.773237919705018
Auerbach_i.d.OPf._2,2019,1,1.44931566904813
Auerbach_i.d.OPf._2,2019,12,1.6724589469063
Auerbach_i.d.OPf._2,2020,1,0.961779964253173
Auerbach_i.d.OPf._2,2020,12,1.55637970047427
Auerbach_i.d.OPf._2,2021,1,0.840269308212235
Auerbach_i.d.OPf._2,2021,12,1.55076755282622
Aying_1,2015,1,0.14512993978466
Aying_1,2015,12,-0.644834837558605
Aying_1,2016,1,0.767126420131913
Aying_1,2016,12,1.41796349020439
Aying_1,2017,1,-0.226261968181665
Aying_1,2017,12,0.359908085731675
Aying_1,2018,1,0.102507662632091
Aying_1,2018,12,-0.776165994040487
Aying_1,2019,1,0.865737476034193
Aying_1,2019,12,1.47625731278157
Aying_1,2020,1,0.454394362572025
Aying_1,2020,12,1.68606477826913
Aying_1,2021,1,0.110592522430693
Aying_1,2021,12,0.683012065277233
Aying_2,2015,1,0.138736178025995
Aying_2,2015,12,-0.647552777728264
Aying_2,2016,1,0.740170588239966
Aying_2,2016,12,1.41369530607476
Aying_2,2017,1,-0.233703400478317
Aying_2,2017,12,0.324240903545404
Aying_2,2018,1,0.104787273737771
Aying_2,2018,12,-0.792951092551044
Aying_2,2019,1,0.883639412636915
Aying_2,2019,12,1.52010538633323
Aying_2,2020,1,0.476890943648915
Aying_2,2020,12,1.72181049867059
Aying_2,2021,1,0.103590250817968
Aying_2,2021,12,0.684892677544597
Bad_Birnbach_1,2015,1,0.313041242809971
Bad_Birnbach_1,2015,12,-0.00406079172587126
Bad_Birnbach_1,2016,1,0.768115035386712
Bad_Birnbach_1,2016,12,1.23290053687442
Bad_Birnbach_1,2017,1,0.0826353040428184
Bad_Birnbach_1,2017,12,0.709227235532206
Bad_Birnbach_1,2018,1,0.570342621615232
Bad_Birnbach_1,2018,12,0.28855218868131
Bad_Birnbach_1,2019,1,1.24538358144572
Bad_Birnbach_1,2019,12,1.73115605260791
Bad_Birnbach_1,2020,1,0.842101566721721
Bad_Birnbach_1,2020,12,1.63472848467408
Bad_Birnbach_1,2021,1,0.420048652294618
Bad_Birnbach_1,2021,12,1.18827224356801
Bad_Birnbach_2,2015,1,0.314800510626627
Bad_Birnbach_2,2015,12,-0.0027980670051681
Bad_Birnbach_2,2016,1,0.755966775428817
Bad_Birnbach_2,2016,12,1.20369257080257
Bad_Birnbach_2,2017,1,0.0906761633683749
Bad_Birnbach_2,2017,12,0.692565509273157
Bad_Birnbach_2,2018,1,0.582510546285415
Bad_Birnbach_2,2018,12,0.301978827912098
Bad_Birnbach_2,2019,1,1.26242983781865
Bad_Birnbach_2,2019,12,1.7321743381776
Bad_Birnbach_2,2020,1,0.859782665514175
Bad_Birnbach_2,2020,12,1.63781616315084
Bad_Birnbach_2,2021,1,0.421039770766471
Bad_Birnbach_2,2021,12,1.19932027268341
Bad_Wörishofen_1,2015,1,0.131456329250653
Bad_Wörishofen_1,2015,12,-0.539042225215627
Bad_Wörishofen_1,2016,1,0.802239753587437
Bad_Wörishofen_1,2016,12,1.33565545556386
Bad_Wörishofen_1,2017,1,-0.0860011301456342
Bad_Wörishofen_1,2017,12,0.548116553140072
Bad_Wörishofen_1,2018,1,0.160268097297193
Bad_Wörishofen_1,2018,12,-0.184408629329841
