"","falsto_name","year","prec","temp","swvl","freq","elev","x","y","sm","vpd","sm_z","vpd_z","spei","spei_z","avg_beetles_trap","sum_ips","peak_doy","peak_diff","agg_doy"
"1","Anzinger_Forst_1",2015,55,13.2,1.36343439787396,0.751147842056933,551,4464538.44781689,2781905.52811161,1.33335074986274,0.756227318585367,-1.7246991688488,2.20150928159059,0.238115516974986,0.551080889786706,306.470588235294,5210,203,177.777777777778,163
"2","Anzinger_Forst_1",2015,55,13.2,1.36343439787396,0.751147842056933,551,4464538.44781689,2781905.52811161,1.33335074986274,0.756227318585367,-1.7246991688488,2.20150928159059,0.238115516974986,0.551080889786706,1010.29411764706,5210,203,177.777777777778,163
"3","Anzinger_Forst_1",2016,97,16.3,1.50798301015134,0.751147842056933,551,4464538.44781689,2781905.52811161,1.53246802048274,0.484521847291383,0.902879137058695,-0.420906240452445,0.0934398005818359,0.373442227047233,1583.2,39580,132,504.761904761905,126
"4","Anzinger_Forst_1",2016,97,16.3,1.50798301015134,0.751147842056933,551,4464538.44781689,2781905.52811161,1.53246802048274,0.484521847291383,0.902879137058695,-0.420906240452445,0.0934398005818359,0.373442227047233,2988.52,39580,132,504.761904761905,126
"5","Anzinger_Forst_1",2017,86,14.2,1.50857887409518,0.751147842056933,551,4464538.44781689,2781905.52811161,1.35396801756633,0.65016189747742,-1.45263092898019,1.1777992865697,1.09573621247567,1.60410206904559,954.434782608696,21952,170,157.142857142857,132
"6","Anzinger_Forst_1",2017,86,14.2,1.50857887409518,0.751147842056933,551,4464538.44781689,2781905.52811161,1.35396801756633,0.65016189747742,-1.45263092898019,1.1777992865697,1.09573621247567,1.60410206904559,1689.34782608696,21952,170,157.142857142857,132
"7","Anzinger_Forst_1",2018,88,15.9,1.34901199945043,0.751147842056933,551,4464538.44781689,2781905.52811161,1.30125981066893,0.752602320507738,-2.14817552215214,2.16652194334937,-0.658578722955447,-0.549916358670478,1624.21052631579,30860,151,503.333333333333,115
"8","Anzinger_Forst_1",2018,88,15.9,1.34901199945043,0.751147842056933,551,4464538.44781689,2781905.52811161,1.30125981066893,0.752602320507738,-2.14817552215214,2.16652194334937,-0.658578722955447,-0.549916358670478,1795.78947368421,30860,151,503.333333333333,115
"9","Anzinger_Forst_1",2019,76,14,1.43674538229502,0.751147842056933,551,4464538.44781689,2781905.52811161,1.40235689024367,0.662393816766649,-0.814084851593745,1.29585791400803,-0.119831363676999,0.111579314843789,1330.59090909091,29273,158,360,116
"10","Anzinger_Forst_1",2019,76,14,1.43674538229502,0.751147842056933,551,4464538.44781689,2781905.52811161,1.40235689024367,0.662393816766649,-0.814084851593745,1.29585791400803,-0.119831363676999,0.111579314843789,1546.45454545455,29273,158,360,116
"11","Anzinger_Forst_1",2020,97,14.8,1.47114309167978,0.751147842056933,551,4464538.44781689,2781905.52811161,1.47711302718102,0.553811253953579,0.172407194216346,0.247853261072242,0.128012475495819,0.415891947651051,574.75,13794,147,291.111111111111,147
"12","Anzinger_Forst_1",2020,97,14.8,1.47114309167978,0.751147842056933,551,4464538.44781689,2781905.52811161,1.47711302718102,0.553811253953579,0.172407194216346,0.247853261072242,0.128012475495819,0.415891947651051,858.958333333333,13794,147,291.111111111111,147
"13","Anzinger_Forst_1",2021,137,15.2,1.49845651014185,0.751147842056933,551,4464538.44781689,2781905.52811161,1.54816512483689,0.491092043719735,1.11002023907408,-0.357492776547851,0.916170826627448,1.38362446705677,182.814814814815,4935,159,196.25,159
"14","Anzinger_Forst_1",2021,137,15.2,1.49845651014185,0.751147842056933,551,4464538.44781689,2781905.52811161,1.54816512483689,0.491092043719735,1.11002023907408,-0.357492776547851,0.916170826627448,1.38362446705677,496.037037037037,4935,159,196.25,159
"15","Anzinger_Forst_2",2015,55,13.3,1.36343439787396,0.833792470156106,527,4461302.39009877,2782418.02456421,1.33335074986274,0.756227318585367,-1.7246991688488,2.20150928159059,-0.956902530798046,-1.58980407874284,571.470588235294,9715,203,466.666666666667,195
"16","Anzinger_Forst_2",2015,55,13.3,1.36343439787396,0.833792470156106,527,4461302.39009877,2782418.02456421,1.33335074986274,0.756227318585367,-1.7246991688488,2.20150928159059,-0.956902530798046,-1.58980407874284,910.294117647059,9715,203,466.666666666667,195
"17","Anzinger_Forst_2",2016,98,16.2,1.50798301015134,0.833792470156106,527,4461302.39009877,2782418.02456421,1.53246802048274,0.484521847291383,0.902879137058695,-0.420906240452445,-1.16574946851542,-1.89058282214143,904.12,22603,195,392.857142857143,132
"18","Anzinger_Forst_2",2016,98,16.2,1.50798301015134,0.833792470156106,527,4461302.39009877,2782418.02456421,1.53246802048274,0.484521847291383,0.902879137058695,-0.420906240452445,-1.16574946851542,-1.89058282214143,2559.48,22603,195,392.857142857143,132
"19","Anzinger_Forst_2",2017,85,14.3,1.50857887409518,0.833792470156106,527,4461302.39009877,2782418.02456421,1.35396801756633,0.65016189747742,-1.45263092898019,1.1777992865697,0.0169258555442423,-0.187308636237034,824.347826086957,18960,163,257.142857142857,139
"20","Anzinger_Forst_2",2017,85,14.3,1.50857887409518,0.833792470156106,527,4461302.39009877,2782418.02456421,1.35396801756633,0.65016189747742,-1.45263092898019,1.1777992865697,0.0169258555442423,-0.187308636237034,1800.86956521739,18960,163,257.142857142857,139
"21","Anzinger_Forst_2",2018,90,16,1.34901199945043,0.833792470156106,527,4461302.39009877,2782418.02456421,1.30125981066893,0.752602320507738,-2.14817552215214,2.16652194334937,-1.42602267569038,-2.26542503457715,703.157894736842,13360,151,188.888888888889,136
